id_interwencji,godziny_interwencji,dlugosc_interwencji,id_zgloszen
1,04:18:16,0:10:31,1
2,00:12:33,0:26:33,2
3,22:07:02,0:10:57,3
4,19:30:37,0:22:27,4
5,07:22:58,1:14:22,5
6,08:01:32,0:19:18,6
7,13:18:10,0:22:9,7
8,19:58:21,0:22:21,8
9,05:07:47,0:17:48,9
10,16:02:19,0:3:9,10
11,18:43:01,1:5:34,11
12,01:40:28,1:23:19,12
13,07:32:45,0:27:35,13
14,09:57:10,0:0:37,14
15,09:11:57,1:27:1,15
16,07:43:55,1:21:52,16
17,03:03:57,1:16:0,17
18,22:17:49,0:23:35,18
19,16:31:01,0:13:27,19
20,22:24:51,1:2:18,20
21,16:27:24,0:13:41,21
22,23:38:19,0:11:1,22
23,06:27:24,0:14:22,23
24,03:04:25,0:4:46,24
25,17:50:26,1:26:22,25
26,09:34:45,1:5:9,26
27,11:19:37,1:0:54,27
28,09:21:26,1:17:42,28
29,12:31:42,0:20:2,29
30,02:18:50,1:24:12,30
31,22:31:57,0:30:18,31
32,22:36:20,0:7:47,32
33,13:20:09,0:9:44,33
34,16:31:48,1:29:42,34
35,08:26:48,0:28:1,35
36,01:06:01,0:9:23,36
37,15:07:45,0:14:1,37
38,19:07:01,1:20:8,38
39,06:36:09,1:12:23,39
40,03:02:02,1:22:36,40
41,23:14:17,1:24:55,41
42,04:07:07,0:2:11,42
43,03:35:22,0:28:4,43
44,09:05:33,1:1:37,44
45,09:35:50,1:24:37,45
46,11:32:54,1:29:11,46
47,11:28:57,0:13:57,47
48,18:47:07,0:18:25,48
49,03:54:17,0:0:13,49
50,04:07:58,0:26:40,50
51,20:47:24,1:8:40,51
52,14:17:44,0:18:41,52
53,02:18:36,1:29:39,53
54,23:12:05,1:25:23,54
55,19:01:46,1:17:11,55
56,04:55:31,1:19:10,56
57,04:06:52,1:9:36,57
58,13:24:06,1:5:3,58
59,04:14:21,1:24:0,59
60,00:22:04,1:24:53,60
61,16:25:16,0:30:54,61
62,01:25:17,0:21:17,62
63,13:24:59,0:17:39,63
64,02:37:45,1:24:12,64
65,06:34:27,0:14:10,65
66,04:51:54,1:21:35,66
67,02:40:15,0:8:15,67
68,08:12:53,0:8:9,68
69,20:18:55,0:17:51,69
70,04:21:37,1:5:21,70
71,12:54:04,0:25:18,71
72,09:39:50,1:9:26,72
73,05:33:19,0:30:50,73
74,19:48:37,1:0:19,74
75,18:47:20,1:4:26,75
76,01:59:26,0:14:48,76
77,08:22:48,1:9:47,77
78,23:29:05,0:21:38,78
79,05:55:27,0:11:26,79
80,22:26:39,1:23:1,80
81,07:01:45,1:3:15,81
82,02:39:47,1:13:56,82
83,03:20:16,0:12:39,83
84,23:20:45,1:6:54,84
85,23:28:11,0:10:30,85
86,20:14:05,0:23:0,86
87,16:49:02,0:21:33,87
88,18:14:03,0:30:53,88
89,12:46:03,1:8:48,89
90,14:36:53,0:1:42,90
91,20:24:08,0:28:47,91
92,14:54:46,0:7:14,92
93,18:07:41,0:5:3,93
94,20:23:53,0:30:35,94
95,14:51:08,0:17:31,95
96,04:27:02,0:29:46,96
97,20:00:35,1:6:40,97
98,23:49:04,1:30:4,98
99,01:43:59,0:5:52,99
100,05:12:19,1:5:43,100
101,04:23:16,0:13:0,1
102,00:12:33,1:29:36,2
103,22:08:02,1:8:25,3
104,19:35:37,1:8:35,4
105,07:21:58,1:15:2,5
106,07:56:32,0:8:18,6
107,13:15:10,1:16:40,7
108,19:59:21,0:8:13,8
109,05:05:47,0:22:45,9
110,16:00:19,0:17:7,10
