id_zdarzenia,adres,godzina,data
1,Kwiatkowskiego 41,6:17:36,2022-01-24
2,Brylantowa 38,12:42:38,2022-07-07
3,Trakt œw. Wojciecha 16,15:19:32,2021-09-23
4,Karpia 43,12:54:44,2021-10-23
5,Podzamcze 2,23:18:18,2023-09-28
6,Basztowa 29,6:53:18,2022-04-24
7,Wagnera 1,9:52:31,2021-10-06
8,Kruszwicka 24,6:22:49,2022-03-14
9,Stwosza 8,16:22:10,2023-09-25
10,Stryjewskiego 49,12:51:35,2021-12-24
11,Wronki 17,16:34:52,2023-10-22
12,Kolumba 17,16:24:22,2023-10-20
13,Podchor¹¿ych 33,16:27:38,2022-11-30
14,Szafranowa 34,19:14:1,2023-12-07
15,Œwistaka 20,16:3:17,2021-04-01
16,Lubelska 23,1:54:52,2022-12-13
17,Beethovena 4,9:11:48,2021-03-26
18,Tama Pêdzichowska 28,4:7:48,2021-11-23
19,Rogaliñska 1,16:13:15,2023-07-05
20,Bramiñskiego 40,10:7:20,2023-04-08
21,Wadowicka 26,12:28:46,2021-09-30
22,Homera 4,18:0:50,2023-06-22
23,Tunel im. Grzegorza Oryszczaka 20,5:48:50,2021-01-16
24,Rejtana 24,15:24:5,2021-09-27
25,Mia³ki Szlak 16,9:13:56,2023-08-20
26,Rondo im. Guntera Grassa 10,9:13:18,2021-02-01
27,Augustyñskiego 28,22:38:7,2023-07-02
28,Sendlerowej 38,17:17:57,2022-01-06
29,Podbielañska 2,3:47:28,2021-07-24
30,Jaœkowa Dolina 30,1:29:13,2023-12-28
31,Rokitnikowa 23,8:46:11,2023-03-21
32,Lipuska 9,17:25:0,2023-03-29
33,Magnoliowa 37,10:20:53,2021-10-13
34,S³abego 4,19:47:3,2022-04-18
35,Rzeczypospolitej 42,3:31:41,2023-04-30
36,Podm³yñska 38,4:23:14,2023-01-19
37,Wassowskiego 19,6:28:29,2022-11-23
38,Hokejowa 35,6:24:59,2022-07-30
39,Za Murami 28,14:56:44,2021-05-09
40,Na Stêpce 41,18:40:37,2021-12-15
41,Volty 48,0:7:14,2023-09-11
42,Broniewskiego 47,7:40:39,2021-01-08
43,Cerery 3,2:58:25,2021-05-19
44,Harfowa 17,22:29:54,2022-07-03
45,Dantyszka 13,20:24:49,2023-04-23
46,Turzycowa 32,23:23:23,2023-11-15
47,Gorzowska 2,22:29:28,2023-07-30
48,Norwida 27,10:29:47,2023-08-12
49,Monta¿ystów 46,21:7:16,2023-12-16
50,Ostrowskiej 36,3:42:22,2023-05-15
51,Bruskiego 7,15:56:19,2023-11-05
52,"Skwer im. Danuty Siedzikówny ""Inki"" 43",3:13:51,2023-03-28
53,Tobiasza 30,4:11:54,2021-04-12
54,Chodowieckiego 2,6:53:14,2022-11-05
55,£ostowicka 25,8:6:39,2023-11-23
56,Gerwazego 36,5:13:55,2022-10-04
57,Przywidzka 28,11:54:27,2023-05-08
58,Ozyrysa 36,11:48:48,2021-08-04
59,Ko³odzieja 20,5:9:26,2022-12-25
60,Zagórna 39,20:7:35,2023-10-09
61,Wolnoœci 42,14:15:56,2023-12-26
62,Deotymy 38,13:22:0,2022-09-28
63,Targ Sienny 18,21:27:10,2023-02-17
64,Storczykowa 26,11:9:56,2022-11-03
65,Kolonia Zrêby 34,2:42:17,2023-08-03
66,Wa³y Piastowskie 10,2:44:19,2021-04-15
67,Wiêckowskiego 49,15:20:5,2022-06-30
68,Trawki 16,3:23:13,2023-02-20
69,Park im. ks. Bronis³awa Kabata 41,22:38:20,2022-06-14
70,Aleja Vaclava Havla 4,23:36:56,2021-04-04
71,Borska 13,20:40:43,2021-07-15
72,Kuronia 14,19:33:20,2022-03-23
73,Osiek 26,9:26:53,2021-08-19
74,Okólna 16,11:10:15,2023-05-17
75,Tarnowska 38,4:32:52,2021-08-07
76,Paneckiego 10,23:44:43,2021-11-29
77,Odrzañska 20,16:22:45,2021-07-14
78,Charpantiera 28,23:15:20,2023-07-06
79,Bia³a 5,20:9:29,2022-02-09
80,Wêgrzyna 20,14:58:58,2023-07-19
81,Rolna 24,9:10:45,2022-02-23
82,Kozia 23,22:4:40,2023-07-13
83,Matejki 3,6:40:6,2023-03-01
84,Zawiszy Czarnego 43,0:19:56,2023-05-27
85,Tilgnera 45,6:3:56,2023-10-05
86,Korczaka 50,9:32:37,2022-11-13
87,£awnicza 3,15:50:57,2023-12-09
88,Kwietniowa 49,14:37:16,2022-11-20
89,Pólnicy 10,3:19:28,2023-04-25
90,Raciborskiego 23,1:28:42,2021-08-25
91,Doki 21,7:41:3,2021-01-18
92,Dar¿lubska 47,3:59:9,2022-11-21
93,Œwirskiego 4,23:27:19,2022-08-26
94,Wa³owa 19,19:59:35,2021-12-05
95,Jaracza 41,17:31:49,2023-07-31
96,Salwator 34,19:57:27,2022-05-06
97,Junony 30,22:17:18,2022-01-11
98,Dwór 28,16:59:15,2021-04-24
99,Lubowidzka 8,20:46:25,2022-05-29
100,Fundacyjna 16,3:2:21,2023-01-14
