id_funkcjonariuszy,id_interwencji
66,111
72,112
117,113
66,114
48,115
26,116
82,117
92,118
79,119
113,120
22,121
115,122
22,123
49,124
118,125
32,126
81,127
109,128
89,129
36,130
115,131
65,132
71,133
28,134
89,135
54,136
57,137
47,138
29,139
86,140
46,141
113,142
65,143
31,144
72,145
71,146
31,147
24,148
98,149
74,150
44,151
77,152
36,153
82,154
23,155
81,156
61,157
37,158
51,159
64,160
37,161
76,162
81,163
31,164
34,165
111,166
60,167
90,168
63,169
96,170
66,171
24,172
98,173
116,174
107,175
26,176
33,177
52,178
71,179
120,180
35,181
115,182
32,183
59,184
58,185
30,186
28,187
95,188
34,189
95,190
121,191
58,192
76,193
86,194
74,195
40,196
50,197
109,198
63,199
24,200
97,201
22,202
104,203
88,204
69,205
43,206
36,207
82,208
25,209
29,210
104,211
74,212
24,213
61,214
44,215
93,216
30,217
69,218
36,219
96,220
33,221
80,222
114,223
53,224
31,225
35,226
47,227
69,228
50,229
44,230
89,231
44,232
25,233
27,234
52,235
89,236
112,237
91,238
100,239
21,240
63,241
109,242
38,243
113,244
115,245
94,246
121,247
84,248
74,249
60,250
28,251
71,252
115,253
70,254
38,255
71,256
41,257
80,258
110,259
72,260
31,261
42,262
44,263
62,264
92,265
70,266
34,267
29,268
27,269
40,270
109,271
50,272
37,273
97,274
80,275
82,276
83,277
87,278
83,279
68,280
84,281
65,282
24,283
38,284
57,285
69,286
27,287
72,288
98,289
96,290
102,291
43,292
92,293
107,294
119,295
52,296
83,297
49,298
101,299
96,300
41,301
27,302
25,303
92,304
93,305
82,306
23,307
71,308
96,309
98,310
31,311
52,312
52,313
27,314
103,315
66,316
89,317
76,318
52,319
55,320
60,321
118,322
64,323
55,324
72,325
67,326
62,327
94,328
55,329
84,330
121,331
100,332
91,333
120,334
98,335
31,336
111,337
90,338
62,339
29,340
56,341
25,342
89,343
98,344
33,345
40,346
62,347
99,348
92,349
62,350
27,351
31,352
70,353
75,354
61,355
60,356
106,357
111,358
35,359
31,360
98,361
85,362
51,363
99,364
61,365
57,366
37,367
40,368
44,369
22,370
80,371
106,372
78,373
48,374
32,375
116,376
27,377
120,378
40,379
104,380
43,381
90,382
64,383
69,384
93,385
114,386
56,387
53,388
107,389
96,390
50,391
84,392
63,393
89,394
106,395
117,396
117,397
54,398
30,399
117,400
59,401
108,402
121,403
115,404
98,405
75,406
80,407
80,408
111,409
99,410
81,411
110,412
54,413
102,414
89,415
56,416
45,417
63,418
121,419
93,420
80,421
58,422
36,423
114,424
24,425
69,426
46,427
43,428
94,429
50,430
28,431
63,432
98,433
106,434
27,435
29,436
47,437
46,438
32,439
32,440
55,441
111,442
21,443
104,444
42,445
108,446
91,447
49,448
40,449
26,450
92,451
36,452
49,453
59,454
32,455
74,456
103,457
71,458
70,459
104,460
104,461
49,462
68,463
86,464
67,465
27,466
41,467
83,468
78,469
83,470
30,471
28,472
94,473
111,474
32,475
76,476
99,477
106,478
85,479
33,480
28,481
117,482
89,483
53,484
43,485
67,486
31,487
48,488
29,489
102,490
27,491
72,492
55,493
96,494
81,495
96,496
27,497
51,498
117,499
30,500
104,501
68,502
43,503
84,504
88,505
52,506
46,507
40,508
115,509
44,510
121,511
110,512
52,513
106,514
105,515
44,516
120,517
105,518
94,519
52,520
38,521
91,522
23,523
105,524
94,525
99,526
80,527
48,528
67,529
116,530
102,531
99,532
103,533
78,534
109,535
30,536
56,537
65,538
63,539
91,540
92,541
73,542
69,543
46,544
117,545
100,546
68,547
88,548
70,549
47,550
107,551
56,552
48,553
53,554
53,555
102,556
103,557
119,558
66,559
82,560
112,561
31,562
98,563
42,564
119,565
89,566
60,567
83,568
48,569
69,570
88,571
94,572
94,573
102,574
84,575
121,576
73,577
37,578
42,579
47,580
94,581
41,582
89,583
64,584
108,585
69,586
28,587
75,588
75,589
87,590
29,591
79,592
79,593
85,594
71,595
28,596
46,597
78,598
78,599
68,600
33,601
108,602
30,603
80,604
36,605
98,606
54,607
42,608
92,609
26,610
118,611
45,612
109,613
69,614
62,615
21,616
91,617
33,618
34,619
96,620
65,621
71,622
105,623
39,624
80,625
49,626
37,627
117,628
69,629
73,630
54,631
34,632
24,633
30,634
108,635
24,636
21,637
90,638
30,639
83,640
95,641
40,642
51,643
113,644
108,645
49,646
105,647
39,648
117,649
106,650
97,651
97,652
42,653
100,654
27,655
48,656
57,657
81,658
44,659
32,660
24,661
86,662
37,663
39,664
41,665
114,666
34,667
86,668
53,669
108,670
112,671
44,672
118,673
62,674
97,675
65,676
83,677
90,678
67,679
31,680
103,681
72,682
54,683
103,684
70,685
100,686
22,687
23,688
83,689
32,690
38,691
31,692
68,693
28,694
83,695
66,696
81,697
52,698
96,699
84,700
69,701
29,702
58,703
91,704
66,705
98,706
53,707
24,708
107,709
118,710
40,711
66,712
37,713
35,714
51,715
103,716
58,717
100,718
50,719
45,720
65,721
118,722
111,723
28,724
72,725
43,726
26,727
22,728
81,729
112,730
67,731
116,732
112,733
81,734
35,735
91,736
84,737
120,738
118,739
72,740
84,741
49,742
80,743
98,744
62,745
22,746
39,747
30,748
63,749
121,750
116,751
29,752
44,753
69,754
79,755
40,756
112,757
73,758
33,759
63,760
107,761
100,762
98,763
29,764
29,765
109,766
70,767
112,768
72,769
43,770
107,771
58,772
35,773
46,774
58,775
88,776
42,777
26,778
119,779
32,780
100,781
82,782
74,783
28,784
77,785
88,786
63,787
74,788
29,789
85,790
24,791
73,792
52,793
51,794
63,795
60,796
116,797
52,798
98,799
21,800
84,801
71,802
43,803
83,804
74,805
50,806
40,807
39,808
27,809
116,810
95,811
69,812
63,813
65,814
97,815
112,816
116,817
44,818
80,819
59,820
66,821
64,822
52,823
70,824
110,825
65,826
110,827
82,828
112,829
64,830
83,831
78,832
21,833
55,834
119,835
95,836
61,837
99,838
96,839
100,840
98,841
31,842
65,843
38,844
22,845
119,846
56,847
119,848
119,849
63,850
48,851
110,852
40,853
67,854
105,855
96,856
62,857
90,858
34,859
84,860
76,861
27,862
65,863
47,864
116,865
87,866
72,867
70,868
21,869
83,870
54,871
24,872
82,873
65,874
109,875
60,876
32,877
78,878
54,879
115,880
36,881
74,882
45,883
111,884
102,885
98,886
105,887
77,888
55,889
64,890
75,891
56,892
85,893
96,894
96,895
70,896
59,897
32,898
117,899
106,900
94,901
29,902
89,903
38,904
84,905
63,906
97,907
35,908
83,909
27,910
21,911
39,912
121,913
119,914
88,915
84,916
50,917
110,918
108,919
35,920
64,921
74,922
38,923
56,924
101,925
85,926
115,927
63,928
34,929
57,930
69,931
23,932
32,933
107,934
89,935
29,936
92,937
27,938
121,939
42,940
101,941
76,942
101,943
38,944
49,945
59,946
50,947
40,948
35,949
47,950
62,951
58,952
49,953
45,954
109,955
116,956
32,957
109,958
105,959
42,960
93,961
78,962
97,963
45,964
74,965
107,966
82,967
78,968
96,969
91,970
37,971
39,972
61,973
21,974
83,975
24,976
61,977
67,978
49,979
45,980
82,981
95,982
87,983
71,984
46,985
63,986
47,987
101,988
70,989
55,990
71,991
46,992
114,993
118,994
36,995
90,996
65,997
76,998
75,999
115,1000
114,1001
114,1002
23,1003
55,1004
99,1005
92,1006
73,1007
121,1008
120,1009
86,1010
82,1011
87,1012
58,1013
51,1014
41,1015
79,1016
77,1017
28,1018
70,1019
56,1020
23,1021
106,1022
21,1023
56,1024
86,1025
38,1026
45,1027
105,1028
87,1029
115,1030
99,1031
105,1032
64,1033
96,1034
116,1035
113,1036
70,1037
23,1038
24,1039
118,1040
76,1041
38,1042
66,1043
97,1044
113,1045
80,1046
53,1047
61,1048
52,1049
76,1050
96,1051
35,1052
98,1053
116,1054
39,1055
72,1056
23,1057
117,1058
111,1059
60,1060
62,1061
87,1062
38,1063
28,1064
121,1065
91,1066
102,1067
42,1068
37,1069
85,1070
29,1071
56,1072
114,1073
30,1074
79,1075
121,1076
119,1077
72,1078
83,1079
28,1080
73,1081
36,1082
110,1083
60,1084
121,1085
67,1086
51,1087
69,1088
45,1089
86,1090
34,1091
78,1092
33,1093
61,1094
59,1095
31,1096
81,1097
89,1098
43,1099
29,1100
121,1101
41,1102
24,1103
56,1104
43,1105
23,1106
56,1107
102,1108
75,1109
97,1110
53,1111
52,1112
94,1113
24,1114
45,1115
94,1116
23,1117
51,1118
33,1119
70,1120
85,1121
77,1122
102,1123
69,1124
83,1125
85,1126
66,1127
109,1128
116,1129
