id_zgloszenia,godzina,pilnosci,rodzja,numer dyspozytora,id_zdarzenia
101,15:01:42,1,inne,97,101
102,06:14:37,4,drogowe,31,102
103,09:14:58,4,kryminalne,91,103
104,01:51:12,4,drogowe,44,104
105,22:46:12,3,inne,39,105
106,06:38:00,2,kryminalne,66,106
107,13:11:58,3,inne,92,107
108,05:51:16,3,kryminalne,18,108
109,07:46:01,3,kryminalne,86,109
110,18:17:13,2,drogowe,107,110
111,13:20:39,5,kryminalne,53,111
112,10:37:38,4,kryminalne,14,112
113,12:27:31,5,drogowe,51,113
114,07:25:06,1,kryminalne,109,114
115,06:41:38,3,inne,101,115
116,18:04:32,2,drogowe,90,116
117,08:01:12,5,kryminalne,42,117
118,10:25:27,2,inne,62,118
119,17:30:41,5,kryminalne,72,119
120,20:49:44,4,drogowe,110,120
121,07:32:18,5,drogowe,47,121
122,23:33:21,4,inne,45,122
123,09:44:38,1,drogowe,97,123
124,20:10:20,4,inne,77,124
125,19:50:56,5,drogowe,77,125
126,03:13:39,4,kryminalne,51,126
127,11:13:10,3,kryminalne,39,127
128,18:40:38,2,inne,39,128
129,09:43:06,4,inne,98,129
130,12:57:34,5,drogowe,100,130
131,20:19:57,2,drogowe,83,131
132,08:51:38,2,drogowe,11,132
133,13:29:42,1,inne,11,133
134,21:35:05,2,inne,103,134
135,08:09:41,2,drogowe,43,135
136,04:30:18,4,inne,105,136
137,10:30:53,4,kryminalne,79,137
138,03:51:14,2,drogowe,109,138
139,07:19:35,1,kryminalne,59,139
140,14:46:05,4,kryminalne,81,140
141,14:39:59,3,inne,32,141
142,22:34:10,1,inne,106,142
143,01:34:30,3,inne,51,143
144,01:38:38,3,kryminalne,16,144
145,00:33:35,1,kryminalne,66,145
146,19:20:42,4,kryminalne,97,146
147,14:12:39,1,inne,40,147
148,05:12:30,5,kryminalne,41,148
149,00:55:44,1,kryminalne,52,149
150,13:50:20,1,inne,94,150
151,04:37:10,3,inne,33,151
152,09:07:14,5,kryminalne,34,152
153,15:21:54,1,drogowe,39,153
154,13:39:08,1,inne,24,154
155,10:17:34,4,kryminalne,78,155
156,17:05:15,2,drogowe,86,156
157,02:24:13,4,kryminalne,93,157
158,09:50:53,2,kryminalne,104,158
159,09:25:27,3,inne,24,159
160,10:15:41,4,inne,43,160
161,06:42:38,4,kryminalne,64,161
162,19:05:39,4,kryminalne,44,162
163,11:58:22,1,kryminalne,18,163
164,19:24:22,3,inne,34,164
165,20:13:27,5,kryminalne,60,165
166,16:45:00,5,drogowe,86,166
167,04:44:20,1,kryminalne,87,167
168,02:03:49,4,drogowe,80,168
169,04:38:48,1,drogowe,47,169
170,07:15:56,3,inne,37,170
171,09:08:19,1,inne,65,171
172,08:45:55,2,drogowe,44,172
173,20:32:21,3,inne,76,173
174,16:50:00,1,kryminalne,21,174
175,11:29:24,1,drogowe,70,175
176,20:23:32,5,drogowe,87,176
177,14:28:55,3,kryminalne,104,177
178,12:04:13,3,kryminalne,28,178
179,21:48:12,2,kryminalne,108,179
180,16:19:58,1,inne,106,180
181,20:01:56,4,inne,75,181
182,22:11:03,3,drogowe,100,182
183,08:08:30,2,drogowe,100,183
184,14:02:41,1,kryminalne,51,184
185,01:09:16,5,kryminalne,68,185
186,18:17:39,2,inne,88,186
187,11:01:41,4,kryminalne,22,187
188,08:58:51,3,inne,45,188
189,23:07:25,5,drogowe,39,189
190,16:06:12,3,kryminalne,69,190
191,10:42:04,2,kryminalne,55,191
192,16:05:26,3,drogowe,111,192
193,05:57:14,2,drogowe,73,193
194,23:18:56,3,drogowe,67,194
195,17:59:23,4,kryminalne,21,195
196,01:37:47,1,drogowe,51,196
197,06:10:17,2,inne,43,197
198,19:33:38,1,kryminalne,55,198
199,03:19:16,5,kryminalne,99,199
200,08:36:08,1,inne,47,200
201,16:30:02,2,inne,20,201
202,09:01:27,4,drogowe,44,202
203,16:51:00,1,drogowe,60,203
204,13:47:16,3,kryminalne,16,204
205,16:43:09,3,inne,58,205
206,02:04:50,4,drogowe,107,206
207,01:40:34,2,drogowe,21,207
208,23:56:55,2,inne,89,208
209,09:40:54,1,kryminalne,45,209
210,19:36:33,5,kryminalne,50,210
211,18:58:52,4,drogowe,91,211
212,01:58:34,2,kryminalne,40,212
213,09:06:21,5,inne,55,213
214,00:19:33,2,drogowe,107,214
215,05:17:25,2,inne,42,215
216,14:58:41,1,inne,40,216
217,19:20:35,3,drogowe,82,217
218,00:27:10,4,drogowe,30,218
219,18:45:55,5,kryminalne,76,219
220,18:00:07,5,kryminalne,74,220
221,17:49:33,1,drogowe,81,221
222,18:57:05,5,inne,58,222
223,05:06:53,4,inne,23,223
224,05:46:28,3,kryminalne,64,224
225,05:02:48,2,inne,13,225
226,03:13:50,5,inne,30,226
227,14:14:58,5,inne,78,227
228,09:47:47,4,kryminalne,90,228
229,01:55:04,5,kryminalne,22,229
230,21:15:16,5,drogowe,50,230
231,11:22:25,2,kryminalne,64,231
232,13:58:17,3,kryminalne,15,232
233,05:24:37,2,inne,98,233
234,19:25:37,1,kryminalne,39,234
235,19:32:16,2,inne,51,235
236,11:38:17,1,drogowe,68,236
237,07:30:53,2,kryminalne,26,237
238,08:23:07,2,drogowe,79,238
239,04:24:23,1,kryminalne,83,239
240,03:53:30,2,drogowe,76,240
241,03:24:58,3,kryminalne,15,241
242,17:39:18,4,drogowe,86,242
243,11:15:43,2,inne,30,243
244,19:35:02,4,kryminalne,19,244
245,03:17:19,4,drogowe,68,245
246,16:25:46,1,drogowe,104,246
247,11:04:55,4,kryminalne,70,247
248,18:07:48,2,kryminalne,53,248
249,18:50:33,3,inne,78,249
250,19:04:01,2,drogowe,97,250
251,04:30:26,3,inne,107,251
252,15:00:35,3,drogowe,66,252
253,09:05:43,4,kryminalne,64,253
254,10:23:28,3,inne,70,254
255,10:43:39,4,kryminalne,71,255
256,20:41:51,4,inne,16,256
257,02:15:58,5,kryminalne,80,257
258,08:24:50,1,drogowe,64,258
259,03:20:23,1,kryminalne,98,259
260,05:55:32,3,kryminalne,100,260
261,11:34:56,5,inne,30,261
262,13:31:19,3,drogowe,83,262
263,19:19:36,3,kryminalne,69,263
264,13:26:12,4,inne,51,264
265,10:43:22,3,kryminalne,63,265
266,06:53:47,1,drogowe,104,266
267,20:47:59,5,inne,25,267
268,12:40:33,5,kryminalne,47,268
269,13:09:55,2,kryminalne,33,269
270,06:45:33,2,inne,36,270
271,02:11:51,1,drogowe,26,271
272,19:34:50,4,inne,44,272
273,23:30:44,3,drogowe,23,273
274,03:01:11,3,kryminalne,81,274
275,00:46:17,5,kryminalne,27,275
276,17:57:37,1,inne,50,276
277,20:08:45,5,inne,85,277
278,18:02:21,1,kryminalne,20,278
279,21:09:02,4,kryminalne,100,279
280,14:34:33,4,drogowe,50,280
281,23:41:38,4,drogowe,50,281
282,15:31:31,2,kryminalne,61,282
283,11:12:20,1,inne,36,283
284,04:11:55,1,inne,74,284
285,23:08:43,5,inne,49,285
286,16:34:56,4,kryminalne,88,286
287,00:46:54,1,inne,27,287
288,16:32:25,4,kryminalne,18,288
